segsize1	segsize2	segsize3	segsize4	segsize5	segsize6	segsize7	segsize8	segsize9	segsize10	segsize11	segsize12	segsize13	segsize14	segsize15	segsize16	segsize17	segsize18	segsize19	segsize20	segsize21	segsize22	changepoint1	changepoint2	changepoint3	changepoint4	changepoint5	changepoint6	changepoint7	changepoint8	changepoint9	changepoint10	bp10MB1	bp10MB2	bp10MB3	bpchrarm1	bpchrarm2	bpchrarm3	bpchrarm4	bpchrarm5	osCN1	osCN2	osCN3
TCGA-02-2483	6.41476571754523	10.3083007588049	8.58910078327617	7.31675754797641	4.89432803549829	4.75548068931604	7.91132353936036	6.37476643558808	4.09002504324491	6.31834710192367	6.04597864762792	11.022568721733	10.7772083697766	2.17912983429849	2.34257186904659	4.31029068393131	5.46692862810431	4.86697170889504	3.11435855470166	0.598358134913876	1.15092324304192	3.15151595139521	23.556195486557	32.6083994612996	25.0028690980123	15.0256569632521	6.58971913649653	0.0433648883730946	0.00170213787929494	0.0898120502550226	0.0811736879567687	19.0011070899182	180.156718996786	120.497801178584	15.3454798246298	13.2665956053562	22.2168435671688	9.34807685903094	1.16831481081417	0.000169157629865489	52.5436158769461	15.172016990108	0.284367132945857
TCGA-02-2485	0.396857058992149	2.62119627211232	2.60298416570103	8.57718979333541	4.60366319602043	2.13761135440134	1.67797157996747	1.36205598810753	0.00623823366881086	0.0144770643609405	0.658421295158696	0.344040574823944	1.0010263342999	0.941197798526058	0.791755003209844	4.87838593870249	2.6032591021237	2.93638296266483	2.59151637443797	3.34067215436695	6.55478474025301	6.35831301476518	4.66001679646184	2.10408457485022	1.02370558776139	7.51297835142672	17.886829094303	2.15562006245118	0.84120214205824	1.36560170269259	3.0754670754732	16.3744946125216	222.980853006	87.0847458999226	5.93440109407711	31.8012100239954	10.5561536277514	2.87155051336402	0.771085767066118	6.78230335479307e-08	17.6287034547804	4.35977088824877	0.0115256569708042
TCGA-04-1331	3.26724755847713	5.82275825462236	5.67958849067676	3.65784774282464	4.29153316751519	5.20033293184678	5.54015960804161	5.86399940356	1.78983181424435	9.17011851572225	5.91638319476082	3.42203500824534	7.73033265879406	9.32085322189607	12.7843305909139	5.84923627088252	2.84570184047032	6.224213973312	4.85316195087829	2.46357057432886	1.43589260249674	1.87087062549004	11.5483724174884	18.0900283570319	15.9412217478754	22.3959191568722	29.8045144037398	10.2711804650211	3.4449484750086	2.20371548289268	1.02843691410347	0.271662579966593	183.848455759428	119.671261549353	12.4802826912191	12.3285228201429	24.538807109625	8.07101263354802	1.06165687666591	5.60018200470161e-07	48.8964745595075	12.0528501343278	0.0506753061646704
TCGA-04-1347	7.71207515085464	6.12072725934996	9.71167568215796	19.2762649070949	18.8668548431378	36.7227362145677	55.9748774761719	47.3071677709507	33.1733058166016	53.1868183745033	44.8441271942928	35.4038275346175	23.5257792113567	6.14138951135627	10.9744887004893	1.89817454823041	0.159583678686645	4.39936110998147e-08	9.3068093717002e-07	1.09937891772601e-42	2.21110927696752e-07	0.000124929794495904	20.3462454673154	97.6037365964781	143.060917097091	81.9266203842618	36.9469941665628	10.9756464314209	6.42596098299227	5.85833530759132	3.99886593405407	3.85667763223216	78.2648120331142	179.968779454568	57.7664085123181	4.49674927364479	6.45640737851843	20.505824125981	14.5334000956583	0.0076191261974167	236.734063803032	54.0320493176692	2.23388687929878
TCGA-04-1349	0.886791246419303	1.02982678864484	3.40263459914336	4.35871032636157	6.49979530661899	6.67010414453036	5.02300660920469	3.53334018396436	1.40106728547804	0.980680062770146	3.17947398639362	0.0346255736805451	2.19203400333363	3.29743250661112	4.31795505769251	2.947322929139	2.6155613440677	1.08109594837385	4.64033849125099	2.24597479520698	5.25246061548208	3.40976819563234	4.78358569044132	5.04582818459347	12.7901590679261	18.2502981187403	18.2021320138374	0.597563066901678	1.47928813687761	3.10248716342269	3.28220854291587	1.46645001434358	204.522175271984	103.619642270459	7.85818245755686	19.2282791268061	21.6022011388646	4.99605757929596	0.173462154189654	8.43629120667469e-10	23.1007214840684	5.87408848176328	0.0251900341683426
TCGA-04-1367	5.22140804201046	3.29290837083644	2.85827296878387	2.67352600885918	3.10901755699534	1.52414663567957	2.42473667833245	1.83621420165888	0.0316562579685403	1.20825543301306	5.36539106080274	2.48530806114778	5.35913788529735	1.89380931369503	4.93011425030487	2.24042050168832	1.62112584005036	4.25543693570566	1.65120837393474	0.636869917950725	1.74157563285693	2.63946007242772	6.1416526456774	9.61144645777613	29.6511772418183	11.5790527777854	1.94992410324026	0.00302314544189584	0.000166169643967327	0.0273972444468055	0.0242381874439085	0.0119220267259429	201.568786499688	105.936205861666	8.49500763864656	18.6129068570715	22.0394233245951	5.33461043495598	0.0130593833740082	3.40628887100835e-12	20.7951066002204	5.19110197645836	0.0137914233212337
TCGA-04-1514	8.85140756070224	12.1770433750882	7.84648233875679	11.9070071195678	12.9163218053866	11.8077912468697	9.46479896803749	3.36837955352301	4.18298144526367	4.73857268406354	8.52003855503732	5.33869325376978	3.68717633283422	1.23088701699283	4.61613095577407	5.05595981896893	2.33056779542026	2.21203440345462	2.64857288836588	0.683260603808479	2.79306447734549	3.62282780096909	12.8456453177296	10.1496169991545	48.1766635821785	25.7615133450861	18.6424658414048	3.84491841895335	3.77220427939444	2.85454808730305	1.60468128912652	2.34774283966927	188.278537024353	107.355365319765	20.3660976558819	17.8241572642305	16.7136700692944	8.41526468254243	3.04656910934238	0.000338874590246186	53.5665553771476	17.4273073905305	1.00613723232193
TCGA-04-1542	6.64911312855239	5.93438530585015	4.27989255681117	11.7993234797343	16.7340787056544	13.4031299025264	9.33881168764881	9.09308469142191	8.96930104971011	11.0984974308592	8.15141112056542	13.7026884005175	8.89419907757852	6.33808788485201	5.51179813851994	3.15141744064546	8.79336913523724	2.22463036666561	1.0513727202129	1.6041497988539	0.274167730506994	2.00309024707563	16.357056664445	19.2175204441285	55.6899685099695	33.3823955861773	25.4088515828903	4.08065627055223	2.51537761919095	1.62416812565011	0.573873306967145	0.150131890028956	164.651429038477	130.553585358974	20.7949856025484	9.32577008781629	21.3202843070102	12.711680243441	2.64226506649191	2.95240629314706e-07	70.4267882221222	23.1857179594428	0.387493818435065
TCGA-05-4389	7.81117893799943e-10	0.311967516773852	2.00373006574258	4.69825326876884	6.3569969762104	9.82110076155425	12.3873880214925	9.30099167785922	7.76121990377799	12.0708767524432	8.5346222430115	11.2444775622125	6.833368313854	7.45324760551655	4.78921261772008	5.05017915658783	5.12147350129091	1.03131267786548	3.37208582572631	2.61671546563768	2.95605489762279	2.28472518755039	5.22895849680535	54.802926788615	45.0573363696363	17.8582977247632	1.89907064945357	0.0491690329530537	0.690213120539298	0.2705105988138	0.106586310796934	0.0369309076234935	179.418372401665	121.950617602603	14.631009995732	15.7104825361819	19.7153963504064	9.36345840662029	1.21022787215977	0.00043483463168142	45.6141335978765	10.790217339036	0.595649063087542
TCGA-05-4395	2.21226103224899	2.33952337725386	2.5860446877575	6.7535485645428	5.72654537211035	5.68768818825379	7.82772092979851	3.32042039878601	2.08488524225377	3.49078272877362	5.60095413659002	1.36924209165834	0.908858154526362	2.91199281067827	6.39729904766837	1.69430442117235	4.12579172290257	3.07610654792519	2.18080698443632	1.04107406684054	5.04085988302871	4.62328961079376	6.93566905750651	8.16334878123681	24.6528966225918	16.967204418509	14.1931345622988	2.41522993952914	1.58705395046519	2.28220676881873	2.17086380206078	1.63239209698314	203.045480188224	101.805820765494	11.1486990462823	19.9410374350027	19.1394033832538	6.39078234234239	0.528776834106375	5.29467567241357e-09	31.1858162581806	6.78810799416709	0.0260757476522981
